Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
199,8 Youssef Salem A Du Succès Tandem Bande-Annonce,72 216,,,,,,,,,,,,,,,,,,,,,,
200,3 Les Cyclades Memento Distribution Bande-Annonce,170 382,,,,,,,,,,,,,,,,,,,,,,
201,5 L'Immensita Pathé Bande-Annonce,91 906,,,,,,,,,,,,,,,,,,,,,,
202,6 L'Emprise Du Démon Metropolitan Filmexport Bande-Annonce,85 068,,,,,,,,,,,,,,,,,,,,,,
203,2 Tirailleurs Gaumont Distribution Bande-Annonce,456 751,,,,,,,,,,,,,,,,,,,,,,
204,9 Nostalgia Arp Sélection Bande-Annonce,66 577,,,,,,,,,,,,,,,,,,,,,,
205,4 M3Gan Universal Pictures International France Bande-Annonce,218 120,,,,,,,,,,,,,,,,,,,,,,
206,5 Chœur De Rockers Ugc Distribution Bande-Annonce,125 465,,,,,,,,,,,,,,,,,,,,,,
207,9 Les Banshees D'Inisherin The Walt Disney Company France Bande-Annonce,99 482,,,,,,,,,,,,,,,,,,,,,,
208,10 Caravage Le Pacte Bande-Annonce,95 358,,,,,,,,,,,,,,,,,,,,,,
209,3 Tempête Pathé Bande-Annonce,227 057,,,,,,,,,,,,,,,,,,,,,,
210,8 Le Parfum Vert Diaphana Distribution Bande-Annonce,80 190,,,,,,,,,,,,,,,,,,,,,,
211,9 Le Petit Piaf Gaumont Distribution Bande-Annonce,65 637,,,,,,,,,,,,,,,,,,,,,,
212,10 Whitney Houston : I Wanna Dance With Somebody Sony Pictures Releasing France Bande-Annonce,64 834,,,,,,,,,,,,,,,,,,,,,,
213,1 Avatar : La Voie De L'Eau The Walt Disney Company France Bande-Annonce,2 739 848,,,,,,,,,,,,,,,,,,,,,,
214,3 Ernest Et Célestine : Le Voyage En Charabie Studiocanal Bande-Annonce,171 967,,,,,,,,,,,,,,,,,,,,,,
215,9 Mon Héroïne Universal Pictures International France Bande-Annonce,59 453,,,,,,,,,,,,,,,,,,,,,,
216,1 Le Chat Potté 2 : La Dernière Quête Universal Pictures International France Bande-Annonce,502 167,,,,,,,,,,,,,,,,,,,,,,
217,2 Le Royaume Des Étoiles Kmbo Bande-Annonce,158 405,,,,,,,,,,,,,,,,,,,,,,
218,4 Maestro(S) Apollo Films / Orange Studio Bande-Annonce,111 837,,,,,,,,,,,,,,,,,,,,,,
219,7 Les Bonnes Étoiles Metropolitan Filmexport Bande-Annonce,64 763,,,,,,,,,,,,,,,,,,,,,,
220,2 Le Torrent Snd Bande-Annonce,153 920,,,,,,,,,,,,,,,,,,,,,,
221,3 Enzo Le Croco Sony Pictures Releasing France Bande-Annonce,132 431,,,,,,,,,,,,,,,,,,,,,,
